image,actual,rater,estimate,method,error,abs_error
set_15_6_obj1.png,1.89,R1NEW,1,aidednew,-0.8899999999999999,0.8899999999999999
set_15_6_obj1.png,1.89,R2NEW,1.2,aidednew,-0.69,0.69
set_15_6_obj2.png,4.34,R1OLD,5,aidedold,0.6600000000000001,0.6600000000000001
set_15_6_obj2.png,4.34,R2OLD,7,aidedold,2.66,2.66
set_15_6_obj2.png,4.34,R1NEW,5,aidednew,0.6600000000000001,0.6600000000000001
set_15_6_obj2.png,4.34,R2NEW,6,aidednew,1.6600000000000001,1.6600000000000001
set_15_6_obj3.png,6.54,R1OLD,3,aidedold,-3.54,3.54
set_15_6_obj3.png,6.54,R2OLD,2.5,aidedold,-4.04,4.04
set_15_6_obj3.png,6.54,R1NEW,3,aidednew,-3.54,3.54
set_15_6_obj3.png,6.54,R2NEW,2,aidednew,-4.54,4.54
set_15_76_obj0.png,5.53,R1OLD,2,aidedold,-3.5300000000000002,3.5300000000000002
set_15_76_obj0.png,5.53,R2OLD,1.9,aidedold,-3.6300000000000003,3.6300000000000003
set_15_76_obj0.png,5.53,R1NEW,2.2,aidednew,-3.33,3.33
set_15_76_obj0.png,5.53,R2NEW,1.2,aidednew,-4.33,4.33
set_15_77_obj0.png,13.97,R1OLD,3.6,aidedold,-10.370000000000001,10.370000000000001
set_15_77_obj0.png,13.97,R2OLD,8,aidedold,-5.970000000000001,5.970000000000001
set_15_77_obj0.png,13.97,R1NEW,5,aidednew,-8.97,8.97
set_15_77_obj0.png,13.97,R2NEW,10,aidednew,-3.9700000000000006,3.9700000000000006
set_15_9_obj0.png,5.71,R1OLD,1,aidedold,-4.71,4.71
set_15_9_obj0.png,5.71,R2OLD,0.6,aidedold,-5.11,5.11
set_15_9_obj0.png,5.71,R1NEW,1,aidednew,-4.71,4.71
set_15_9_obj0.png,5.71,R2NEW,1.2,aidednew,-4.51,4.51
set_15_9_obj1.png,3.75,R1OLD,1,aidedold,-2.75,2.75
set_15_9_obj1.png,3.75,R2OLD,1,aidedold,-2.75,2.75
set_15_9_obj1.png,3.75,R1NEW,1.2,aidednew,-2.55,2.55
set_15_9_obj1.png,3.75,R2NEW,1.5,aidednew,-2.25,2.25
set_15_9_obj2.png,4.15,R1OLD,0,aidedold,-4.15,4.15
set_15_9_obj2.png,4.15,R2OLD,2,aidedold,-2.1500000000000004,2.1500000000000004
set_15_9_obj2.png,4.15,R1NEW,2.5,aidednew,-1.6500000000000004,1.6500000000000004
set_15_9_obj2.png,4.15,R2NEW,2,aidednew,-2.1500000000000004,2.1500000000000004
set_16_10_obj0.png,11.05,R1OLD,15,aidedold,3.9499999999999993,3.9499999999999993
set_16_10_obj0.png,11.05,R2OLD,7.5,aidedold,-3.5500000000000007,3.5500000000000007
set_16_10_obj0.png,11.05,R1NEW,10,aidednew,-1.0500000000000007,1.0500000000000007
set_16_10_obj0.png,11.05,R2NEW,17,aidednew,5.949999999999999,5.949999999999999
set_16_14_obj0.png,40.69,R1OLD,60,aidedold,19.310000000000002,19.310000000000002
set_16_14_obj0.png,40.69,R2OLD,35,aidedold,-5.689999999999998,5.689999999999998
set_16_14_obj0.png,40.69,R1NEW,38,aidednew,-2.6899999999999977,2.6899999999999977
set_16_14_obj0.png,40.69,R2NEW,63,aidednew,22.310000000000002,22.310000000000002
set_16_14_obj2.png,43.37,R1OLD,35,aidedold,-8.369999999999997,8.369999999999997
set_16_14_obj2.png,43.37,R2OLD,38,aidedold,-5.3699999999999974,5.3699999999999974
set_16_14_obj2.png,43.37,R1NEW,40,aidednew,-3.3699999999999974,3.3699999999999974
set_16_14_obj2.png,43.37,R2NEW,34,aidednew,-9.369999999999997,9.369999999999997
set_16_14_obj9.png,23.59,R1OLD,18,aidedold,-5.59,5.59
